	NOM026	DOM025	NLM021	NLM031	DLM005	NOM008	NOM017	DOM012	DOM017	DOM005
TIGR00914_clust0.7_5	2234	9018	22728	15349	3847	31111	325	801	13442	23051
TIGR00914_clust0.7_7	297	4631	3422	3022	2337	10783	0	217	5901	11113
TIGR00914_clust0.7_11	115	1234	1216	3436	423	1565	203	405	2174	1461
TIGR00914_clust0.7_13	1622	2247	2513	1955	1677	187	0	1506	0	1012
TIGR00914_clust0.7_15	804	243	6051	3620	2691	1730	0	404	2410	10793
TIGR00914_clust0.7_146	1069	267	1781	774	651	1665	97	0	956	0
TIGR00914_clust0.7_19	4549	6757	15404	13257	3520	24972	359	284	10922	14957
TIGR00914_clust0.7_21	4886	6557	11036	7755	1944	19466	437	486	8422	18907
TIGR00914_clust0.7_24	2606	1196	1964	1240	267	4489	218	272	2815	0
TIGR00914_clust0.7_25	929	3795	4618	5832	1264	18245	1567	4032	8938	3509
TIGR00914_clust0.7_29	331	3508	8977	7199	426	13928	176	0	6293	10847
TIGR00914_clust0.7_133	3629	270	2260	1008	1949	5513	77	889	894	1194
TIGR00914_clust0.7_33	304	6012	6284	6039	1269	15939	0	1354	4440	11473
TIGR00914_clust0.7_40	0	6816	5722	9829	1029	11378	0	387	5960	12664
TIGR00914_clust0.7_45	3202	388	4813	2276	2168	4856	92	639	99	1264
TIGR00914_clust0.7_52	614	4113	14283	10416	1721	21564	567	254	7243	11598
TIGR00914_clust0.7_53	0	421	1919	2403	142	160	426	328	570	468
TIGR00914_clust0.7_55	1286	5912	8621	5707	1252	10364	207	522	8557	10107
TIGR00914_clust0.7_159	0	571	239	1211	1115	595	0	171	1334	4720
TIGR00914_clust0.7_61	0	573	8417	0	45	773	91	611	4469	1076
TIGR00914_clust0.7_84	2036	317	10509	3170	0	2558	131	546	2088	0
TIGR00914_clust0.7_87	3091	3549	3782	5399	2786	10747	142	488	1502	5317
TIGR00914_clust0.7_92	376	337	642	40	0	1260	171	0	745	68
TIGR00914_clust0.7_93	2395	1710	6075	4702	2057	4068	102	481	1406	2493
TIGR00914_clust0.7_98	0	306	21	137	1224	727	0	229	1518	5061
TIGR00698_clust0.7_5	0	247	87	66	369	339	0	190	443	1652
TIGR00698_clust0.7_6	1070	2036	4284	3975	1130	4676	70	205	3423	4811
TIGR02195_clust0.7_0	1514	184	1473	262	720	1902	129	271	1809	0
TIGR01981_clust0.7_32	1374	730	3239	2169	1029	3042	206	163	3070	2168
TIGR01981_clust0.7_1	692	762	3097	2942	488	5448	13421	484	1282	2691
TIGR01981_clust0.7_2	2347	1726	7636	5022	2019	8684	9007	960	3551	5113
TIGR01981_clust0.7_3	826	148	1260	1578	647	141	899	531	684	162
