	DLM005	DOM005	DOM012	DOM017	DOM025	NLM021	NLM031	NOM008	NOM017	NOM026
TIGR00914_clust0.7_5	3847	23051	801	13442	9018	22728	15349	31111	325	2234
TIGR00914_clust0.7_7	2337	11113	217	5901	4631	3422	3022	10783	0	297
TIGR00914_clust0.7_11	423	1461	405	2174	1234	1216	3436	1565	203	115
TIGR00914_clust0.7_13	1677	1012	1506	0	2247	2513	1955	187	0	1622
TIGR00914_clust0.7_15	2691	10793	404	2410	243	6051	3620	1730	0	804
TIGR00914_clust0.7_146	651	0	0	956	267	1781	774	1665	97	1069
TIGR00914_clust0.7_19	3520	14957	284	10922	6757	15404	13257	24972	359	4549
TIGR00914_clust0.7_21	1944	18907	486	8422	6557	11036	7755	19466	437	4886
TIGR00914_clust0.7_24	267	0	272	2815	1196	1964	1240	4489	218	2606
TIGR00914_clust0.7_25	1264	3509	4032	8938	3795	4618	5832	18245	1567	929
TIGR00914_clust0.7_29	426	10847	0	6293	3508	8977	7199	13928	176	331
TIGR00914_clust0.7_133	1949	1194	889	894	270	2260	1008	5513	77	3629
TIGR00914_clust0.7_33	1269	11473	1354	4440	6012	6284	6039	15939	0	304
TIGR00914_clust0.7_40	1029	12664	387	5960	6816	5722	9829	11378	0	0
TIGR00914_clust0.7_45	2168	1264	639	99	388	4813	2276	4856	92	3202
TIGR00914_clust0.7_52	1721	11598	254	7243	4113	14283	10416	21564	567	614
TIGR00914_clust0.7_53	142	468	328	570	421	1919	2403	160	426	0
TIGR00914_clust0.7_55	1252	10107	522	8557	5912	8621	5707	10364	207	1286
TIGR00914_clust0.7_159	1115	4720	171	1334	571	239	1211	595	0	0
TIGR00914_clust0.7_61	45	1076	611	4469	573	8417	0	773	91	0
TIGR00914_clust0.7_84	0	0	546	2088	317	10509	3170	2558	131	2036
TIGR00914_clust0.7_87	2786	5317	488	1502	3549	3782	5399	10747	142	3091
TIGR00914_clust0.7_92	0	68	0	745	337	642	40	1260	171	376
TIGR00914_clust0.7_93	2057	2493	481	1406	1710	6075	4702	4068	102	2395
TIGR00914_clust0.7_98	1224	5061	229	1518	306	21	137	727	0	0
TIGR00698_clust0.7_5	369	1652	190	443	247	87	66	339	0	0
TIGR00698_clust0.7_6	1130	4811	205	3423	2036	4284	3975	4676	70	1070
TIGR02195_clust0.7_0	720	0	271	1809	184	1473	262	1902	129	1514
TIGR01981_clust0.7_32	1029	2168	163	3070	730	3239	2169	3042	206	1374
TIGR01981_clust0.7_1	488	2691	484	1282	762	3097	2942	5448	13421	692
TIGR01981_clust0.7_2	2019	5113	960	3551	1726	7636	5022	8684	9007	2347
TIGR01981_clust0.7_3	647	162	531	684	148	1260	1578	141	899	826
