name	identity	clusterID	logFC	std. error	p.value	fdr
TIGR01957	NA	NA	-0.121640120867732	0.171165661790848	0.495304045604457	0.737885310623063
TIGR02712	NA	NA	-0.0247810971332827	0.160168600849284	0.880766340485394	0.906520517031066
TIGR00152	NA	NA	0.11427550148932	0.177591448221914	0.53922388083993	0.737885310623063
TIGR00741	NA	NA	0.238773632386066	0.329901353724177	0.491952188377799	0.737885310623063
TIGR03131	NA	NA	-0.22720196010234	0.15484327614166	0.176155418495507	0.737885310623063
TIGR00090	NA	NA	-0.19148290971602	0.266502845059351	0.48910535143478	0.737885310623063
TIGR00092	NA	NA	-0.305556446149334	0.23556182840517	0.223792488693039	0.737885310623063
TIGR00880	NA	NA	0.309183863296962	0.259438366838777	0.26981156972446	0.737885310623063
TIGR03239	NA	NA	0.441694690223517	0.875013234598098	0.628601101843537	0.778268030853903
TIGR01020	NA	NA	-0.19822373344832	0.188939863935472	0.320497619065367	0.737885310623063
TIGR03906	NA	NA	-0.174624476872926	0.166964336157099	0.32252818667652	0.737885310623063
TIGR01962	NA	NA	-0.150236299575488	0.221031818371263	0.513129246564986	0.737885310623063
TIGR01800	NA	NA	-0.32512330765341	0.170940301114855	0.088864411715857	0.737885310623063
TIGR02214	NA	NA	-0.211971641782474	0.222902355992812	0.364812248507292	0.737885310623063
TIGR01900	NA	NA	0.0609865915019676	0.298814062494228	0.843676370721878	0.906520517031066
TIGR00005	NA	NA	-0.164902782090944	0.172698804524293	0.364194829809354	0.737885310623063
TIGR02627	NA	NA	-0.021901310547675	0.180848437984464	0.906520517031066	0.906520517031066
TIGR02252	NA	NA	0.229632647475804	0.203726211903617	0.294583952870464	0.737885310623063
TIGR00342	NA	NA	-0.356929577378783	0.491683690135528	0.480004464724743	0.737885310623063
TIGR03992	NA	NA	0.0622687997116319	0.200198127264799	0.764176354773306	0.863851531482868
TIGR00087	NA	NA	-0.161841623284692	0.300173197295292	0.601839377643741	0.778268030853903
TIGR01316	NA	NA	-0.268801617416068	0.220821471009077	0.252120141255544	0.737885310623063
TIGR00914	NA	NA	0.156526813426615	0.229257465842185	0.51571923471248	0.737885310623063
TIGR00698	NA	NA	0.229618487664469	0.0995761805390808	0.0509066504515003	0.737885310623063
TIGR02195	NA	NA	0.162632894336054	0.372835926793309	0.675497440256518	0.798315156666794
TIGR01981	NA	NA	-0.451999902146921	0.408526608480915	0.28808618103133	0.737885310623063
